Etunimi;Lukumäärä
Mehtälä;918
Metsälä;918
Terho;918
Hellström;916
Karppanen;916
Stenman;916
Koskelainen;913
Juuti;909
Kaasalainen;909
Lohi;909
Nokelainen;909
Kasurinen;906
Luokkanen;906
Riekki;906
Romppainen;906
Backlund;905
Henttonen;905
Kallioniemi;905
Toropainen;905
Kopra;904
Kulju;903
Palviainen;903
Pusa;902
Parkkila;901
Siponen;901
Klemola;900
Pajula;900
Palola;900
Oksman;899
Lievonen;897
Lindblom;897
Perkiö;897
Pöntinen;893
Back;892
Kanniainen;891
Häyrinen;887
Knuuttila;886
Malin;886
Sandell;886
Pöyry;885
Naumanen;883
Mantere;882
Isomäki;881
Smeds;880
Paldanius;878
Heikkonen;876
Nummelin;876
Arponen;873
Rouvinen;873
Lund;872
Norrgård;872
Boman;870
Liimatta;870
Ruokolainen;870
Granqvist;869
Puolakka;868
Toiviainen;867
Vesanen;867
Lahtela;863
Ukkola;863
Isoaho;862
Kotiranta;862
Haakana;861
Myllyniemi;860
Miettunen;859
Kurtti;858
Mäkynen;858
Kankare;857
Paaso;857
Huovila;854
Vierimaa;854
Luomala;853
Lehtomäki;852
Vähäkangas;850
Ahlqvist;848
Sironen;848
Herrala;847
Isaksson;845
Jurvanen;844
Pyykönen;844
Pajari;841
Silander;839
Särkkä;839
Sorjonen;838
Hyyryläinen;837
Laasonen;837
Räikkönen;837
Ohtonen;836
Flink;835
Halinen;834
Myller;834
Hagman;833
Berglund;832
Pernu;831
Tuomikoski;830
Lahdenperä;829
Suikkanen;828
Haapasalo;827
Siren;827
Vaarala;825
Valo;825
Engström;824
Launonen;824
Niemistö;824
Knuutinen;823
Lauronen;823
Takalo;823
Tammela;823
Savola;819
Brandt;818
Kallioinen;817
Schroderus;817
Möttönen;816
Rask;815
Stenroos;815
Huuhtanen;814
Raivio;814
Korkalainen;813
Pakkala;812
Rinkinen;812
Vihavainen;812
Riekkinen;811
Ristola;809
Viskari;809
Kurkinen;808
Ruusunen;808
Wiik;808
Viinikka;807
Malmi;806
Poikonen;806
Helle;805
Korkala;805
Kujansuu;804
Myyryläinen;804
Saaristo;803
Laurikainen;801
Oinas;801
Reiman;800
Taskila;798
Husu;797
Haatainen;795
Hinkkanen;795
Paloniemi;793
Ristolainen;791
Tuunanen;791
Vahtera;791
Tikkala;790
Illikainen;789
Fredriksson;787
Koikkalainen;787
Rosendahl;787
Ylimäki;787
Kinnari;784
Pentti;784
Kostiainen;783
Myllykangas;783
Havukainen;781
Aikio;780
Bäckström;780
Jakobsson;780
Kojo;780
Lähdesmäki;779
Lampi;778
Mertanen;778
Kantonen;776
Koivuranta;775
Saarnio;774
Kunnas;773
Bäck;772
Lepola;772
Ahvenainen;771
Maunula;770
Nivala;770
Rosenqvist;770
Hyppönen;768
Hagert;767
Pölönen;766
Forsell;763
Marin;763
Ilola;762
Vento;762
Kankainen;760
Kallunki;758
Tuisku;758
Pohjolainen;757
Taavitsainen;757
Uitto;757
Keto;756
Pussinen;755
Sorri;755
Karhula;754
Järvensivu;752
Riipinen;752
Tanner;752
Ruhanen;750
Tammisto;750
Grönberg;749
Huhtamäki;749
Tuohimaa;749
Hölttä;748
Pullinen;748
Käkelä;747
Laukka;747
Pohjalainen;747
Viita;747
Kurikka;744
Puska;744
Suojanen;744
Varonen;744
Lötjönen;742
Poikela;742
Rastas;741
Reinikka;741
Ahlfors;740
Hakonen;740
Pesola;740
Jokitalo;739
Rantalainen;739
Rutanen;738
Torniainen;737
Fagerholm;736
Särkelä;735
Pekkola;733
Finnilä;732
Hakamäki;732
Valjakka;730
Visuri;729
Grönqvist;726
Lindstedt;726
Rainio;726
Roine;725
Korkeamäki;724
Olin;724
Julin;723
Juopperi;723
Valta;723
Hussein;722
Kvist;722
Vesalainen;722
Nyqvist;721
Äikäs;721
Abdi;720
Dahlström;720
Fagerlund;720
Pekonen;720
Tapaninen;720
Luhtala;719
Vehmas;719
Kostamo;718
Sievänen;718
Mehtonen;717
Kantanen;716
Koskimäki;716
Malmström;715
Rasi;715
Engblom;713
Muikku;713
Peippo;713
Myöhänen;712
Eerikäinen;711
Kupari;710
Pajala;710
Kiljunen;709
Långström;709
Grönfors;707
Koivistoinen;707
Kuutti;707
Vilenius;706
Muukkonen;705
Paju;705
Kiviharju;704
Willman;704
Österman;704
Kaskinen;702
Leminen;701
Mantila;701
Issakainen;700
Laurén;699
Lumme;698
Lipsanen;697
Niittymäki;697
Hautaniemi;696
Korte;695
Jormanainen;693
